ID,Resume_str,Resume_html,Category
250,"Marketing professional with 5 years of experience in analytics, SEO, and SEM.","<p>Marketing professional with <b>5 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>SEM</i>.</p>",Marketing
251,"Software Engineer professional with 5 years of experience in algorithms, Node.js, and MongoDB.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>algorithms</i>, <i>Node.js</i>, and <i>MongoDB</i>.</p>",Software Engineer
252,"Business Analyst professional with 3 years of experience in Excel, dashboard reporting, and Power BI.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Excel</i>, <i>dashboard reporting</i>, and <i>Power BI</i>.</p>",Business Analyst
253,"Marketing professional with 2 years of experience in SEM, digital campaigns, and social media.","<p>Marketing professional with <b>2 years</b> of experience in <i>SEM</i>, <i>digital campaigns</i>, and <i>social media</i>.</p>",Marketing
254,"Marketing professional with 3 years of experience in SEO, digital campaigns, and content creation.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>digital campaigns</i>, and <i>content creation</i>.</p>",Marketing
255,"Business Analyst professional with 2 years of experience in Excel, Power BI, and client communication.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>client communication</i>.</p>",Business Analyst
256,"Mechanical Engineer professional with 4 years of experience in thermodynamics, SolidWorks, and manufacturing processes.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>thermodynamics</i>, <i>SolidWorks</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
257,"Marketing professional with 4 years of experience in SEO, SEM, and content creation.","<p>Marketing professional with <b>4 years</b> of experience in <i>SEO</i>, <i>SEM</i>, and <i>content creation</i>.</p>",Marketing
258,"Marketing professional with 5 years of experience in content creation, digital campaigns, and social media.","<p>Marketing professional with <b>5 years</b> of experience in <i>content creation</i>, <i>digital campaigns</i>, and <i>social media</i>.</p>",Marketing
259,"Software Engineer professional with 1 years of experience in algorithms, backend development, and MongoDB.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>algorithms</i>, <i>backend development</i>, and <i>MongoDB</i>.</p>",Software Engineer
260,"Software Engineer professional with 2 years of experience in Python, backend development, and Node.js.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>Python</i>, <i>backend development</i>, and <i>Node.js</i>.</p>",Software Engineer
261,"Mechanical Engineer professional with 2 years of experience in manufacturing processes, SolidWorks, and AutoCAD.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
262,"Mechanical Engineer professional with 5 years of experience in manufacturing processes, AutoCAD, and thermodynamics.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>manufacturing processes</i>, <i>AutoCAD</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
263,"Business Analyst professional with 5 years of experience in SQL, Excel, and Power BI.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>SQL</i>, <i>Excel</i>, and <i>Power BI</i>.</p>",Business Analyst
264,"Mechanical Engineer professional with 3 years of experience in manufacturing processes, quality inspection, and SolidWorks.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>manufacturing processes</i>, <i>quality inspection</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
265,"HR professional with 3 years of experience in HR policies, recruitment, and conflict resolution.","<p>HR professional with <b>3 years</b> of experience in <i>HR policies</i>, <i>recruitment</i>, and <i>conflict resolution</i>.</p>",HR
266,"Marketing professional with 2 years of experience in SEO, content creation, and analytics.","<p>Marketing professional with <b>2 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>analytics</i>.</p>",Marketing
267,"Business Analyst professional with 5 years of experience in Power BI, Excel, and SQL.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Power BI</i>, <i>Excel</i>, and <i>SQL</i>.</p>",Business Analyst
268,"Marketing professional with 1 years of experience in analytics, SEO, and social media.","<p>Marketing professional with <b>1 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>social media</i>.</p>",Marketing
269,"HR professional with 5 years of experience in onboarding, talent acquisition, and recruitment.","<p>HR professional with <b>5 years</b> of experience in <i>onboarding</i>, <i>talent acquisition</i>, and <i>recruitment</i>.</p>",HR
270,"Mechanical Engineer professional with 3 years of experience in manufacturing processes, thermodynamics, and quality inspection.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>manufacturing processes</i>, <i>thermodynamics</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
271,"Business Analyst professional with 2 years of experience in Excel, data interpretation, and SQL.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>Excel</i>, <i>data interpretation</i>, and <i>SQL</i>.</p>",Business Analyst
272,"HR professional with 5 years of experience in conflict resolution, recruitment, and talent acquisition.","<p>HR professional with <b>5 years</b> of experience in <i>conflict resolution</i>, <i>recruitment</i>, and <i>talent acquisition</i>.</p>",HR
273,"Software Engineer professional with 3 years of experience in MongoDB, Python, and data structures.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>MongoDB</i>, <i>Python</i>, and <i>data structures</i>.</p>",Software Engineer
274,"Marketing professional with 3 years of experience in analytics, content creation, and social media.","<p>Marketing professional with <b>3 years</b> of experience in <i>analytics</i>, <i>content creation</i>, and <i>social media</i>.</p>",Marketing
275,"Business Analyst professional with 3 years of experience in Power BI, data interpretation, and client communication.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Power BI</i>, <i>data interpretation</i>, and <i>client communication</i>.</p>",Business Analyst
276,"Marketing professional with 4 years of experience in SEO, social media, and content creation.","<p>Marketing professional with <b>4 years</b> of experience in <i>SEO</i>, <i>social media</i>, and <i>content creation</i>.</p>",Marketing
277,"Business Analyst professional with 3 years of experience in Power BI, SQL, and Excel.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Power BI</i>, <i>SQL</i>, and <i>Excel</i>.</p>",Business Analyst
278,"Mechanical Engineer professional with 1 years of experience in CAD tools, quality inspection, and thermodynamics.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>CAD tools</i>, <i>quality inspection</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
279,"HR professional with 6 years of experience in employee engagement, recruitment, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>employee engagement</i>, <i>recruitment</i>, and <i>onboarding</i>.</p>",HR
280,"Software Engineer professional with 2 years of experience in Java, Node.js, and MongoDB.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>Java</i>, <i>Node.js</i>, and <i>MongoDB</i>.</p>",Software Engineer
281,"Software Engineer professional with 1 years of experience in MongoDB, backend development, and data structures.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>MongoDB</i>, <i>backend development</i>, and <i>data structures</i>.</p>",Software Engineer
282,"HR professional with 1 years of experience in onboarding, HR policies, and recruitment.","<p>HR professional with <b>1 years</b> of experience in <i>onboarding</i>, <i>HR policies</i>, and <i>recruitment</i>.</p>",HR
283,"HR professional with 3 years of experience in onboarding, conflict resolution, and recruitment.","<p>HR professional with <b>3 years</b> of experience in <i>onboarding</i>, <i>conflict resolution</i>, and <i>recruitment</i>.</p>",HR
284,"Software Engineer professional with 4 years of experience in Python, MongoDB, and Java.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Python</i>, <i>MongoDB</i>, and <i>Java</i>.</p>",Software Engineer
285,"Software Engineer professional with 3 years of experience in backend development, data structures, and Java.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>backend development</i>, <i>data structures</i>, and <i>Java</i>.</p>",Software Engineer
286,"Software Engineer professional with 6 years of experience in Python, backend development, and Node.js.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>Python</i>, <i>backend development</i>, and <i>Node.js</i>.</p>",Software Engineer
287,"Software Engineer professional with 4 years of experience in Node.js, Python, and backend development.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Node.js</i>, <i>Python</i>, and <i>backend development</i>.</p>",Software Engineer
288,"Business Analyst professional with 5 years of experience in client communication, data interpretation, and dashboard reporting.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>client communication</i>, <i>data interpretation</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
289,"HR professional with 3 years of experience in recruitment, talent acquisition, and HR policies.","<p>HR professional with <b>3 years</b> of experience in <i>recruitment</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
290,"Mechanical Engineer professional with 1 years of experience in AutoCAD, CAD tools, and SolidWorks.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>AutoCAD</i>, <i>CAD tools</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
291,"Software Engineer professional with 2 years of experience in data structures, Python, and MongoDB.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>data structures</i>, <i>Python</i>, and <i>MongoDB</i>.</p>",Software Engineer
292,"Marketing professional with 5 years of experience in analytics, content creation, and SEO.","<p>Marketing professional with <b>5 years</b> of experience in <i>analytics</i>, <i>content creation</i>, and <i>SEO</i>.</p>",Marketing
293,"HR professional with 2 years of experience in conflict resolution, talent acquisition, and HR policies.","<p>HR professional with <b>2 years</b> of experience in <i>conflict resolution</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
294,"Software Engineer professional with 5 years of experience in Node.js, Java, and backend development.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>Node.js</i>, <i>Java</i>, and <i>backend development</i>.</p>",Software Engineer
295,"HR professional with 7 years of experience in talent acquisition, employee engagement, and HR policies.","<p>HR professional with <b>7 years</b> of experience in <i>talent acquisition</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
296,"Business Analyst professional with 6 years of experience in client communication, SQL, and dashboard reporting.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>client communication</i>, <i>SQL</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
297,"Business Analyst professional with 1 years of experience in data interpretation, SQL, and client communication.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>data interpretation</i>, <i>SQL</i>, and <i>client communication</i>.</p>",Business Analyst
298,"Marketing professional with 3 years of experience in SEO, content creation, and digital campaigns.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>digital campaigns</i>.</p>",Marketing
299,"Software Engineer professional with 7 years of experience in Java, Node.js, and backend development.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>Java</i>, <i>Node.js</i>, and <i>backend development</i>.</p>",Software Engineer
300,"Business Analyst professional with 5 years of experience in SQL, Excel, and Power BI.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>SQL</i>, <i>Excel</i>, and <i>Power BI</i>.</p>",Business Analyst
301,"Business Analyst professional with 5 years of experience in client communication, dashboard reporting, and Excel.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>client communication</i>, <i>dashboard reporting</i>, and <i>Excel</i>.</p>",Business Analyst
302,"HR professional with 2 years of experience in employee engagement, onboarding, and HR policies.","<p>HR professional with <b>2 years</b> of experience in <i>employee engagement</i>, <i>onboarding</i>, and <i>HR policies</i>.</p>",HR
303,"Marketing professional with 7 years of experience in digital campaigns, analytics, and content creation.","<p>Marketing professional with <b>7 years</b> of experience in <i>digital campaigns</i>, <i>analytics</i>, and <i>content creation</i>.</p>",Marketing
304,"Software Engineer professional with 6 years of experience in MongoDB, Java, and data structures.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>MongoDB</i>, <i>Java</i>, and <i>data structures</i>.</p>",Software Engineer
305,"Software Engineer professional with 1 years of experience in Python, data structures, and algorithms.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Python</i>, <i>data structures</i>, and <i>algorithms</i>.</p>",Software Engineer
306,"HR professional with 6 years of experience in onboarding, talent acquisition, and conflict resolution.","<p>HR professional with <b>6 years</b> of experience in <i>onboarding</i>, <i>talent acquisition</i>, and <i>conflict resolution</i>.</p>",HR
307,"Marketing professional with 3 years of experience in content creation, digital campaigns, and social media.","<p>Marketing professional with <b>3 years</b> of experience in <i>content creation</i>, <i>digital campaigns</i>, and <i>social media</i>.</p>",Marketing
308,"Business Analyst professional with 7 years of experience in data interpretation, client communication, and dashboard reporting.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>data interpretation</i>, <i>client communication</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
309,"HR professional with 6 years of experience in recruitment, HR policies, and conflict resolution.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>HR policies</i>, and <i>conflict resolution</i>.</p>",HR
310,"Mechanical Engineer professional with 1 years of experience in manufacturing processes, SolidWorks, and thermodynamics.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
311,"Business Analyst professional with 7 years of experience in Excel, data interpretation, and Power BI.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>Excel</i>, <i>data interpretation</i>, and <i>Power BI</i>.</p>",Business Analyst
312,"Marketing professional with 1 years of experience in content creation, social media, and analytics.","<p>Marketing professional with <b>1 years</b> of experience in <i>content creation</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
313,"Marketing professional with 2 years of experience in SEM, analytics, and digital campaigns.","<p>Marketing professional with <b>2 years</b> of experience in <i>SEM</i>, <i>analytics</i>, and <i>digital campaigns</i>.</p>",Marketing
314,"Mechanical Engineer professional with 1 years of experience in AutoCAD, thermodynamics, and SolidWorks.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>AutoCAD</i>, <i>thermodynamics</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
315,"Mechanical Engineer professional with 7 years of experience in manufacturing processes, SolidWorks, and CAD tools.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
316,"Business Analyst professional with 2 years of experience in SQL, Excel, and dashboard reporting.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>SQL</i>, <i>Excel</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
317,"Marketing professional with 3 years of experience in analytics, content creation, and SEM.","<p>Marketing professional with <b>3 years</b> of experience in <i>analytics</i>, <i>content creation</i>, and <i>SEM</i>.</p>",Marketing
318,"Mechanical Engineer professional with 7 years of experience in quality inspection, thermodynamics, and CAD tools.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>quality inspection</i>, <i>thermodynamics</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
319,"Business Analyst professional with 4 years of experience in dashboard reporting, Power BI, and SQL.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>dashboard reporting</i>, <i>Power BI</i>, and <i>SQL</i>.</p>",Business Analyst
320,"HR professional with 2 years of experience in talent acquisition, onboarding, and employee engagement.","<p>HR professional with <b>2 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>employee engagement</i>.</p>",HR
321,"HR professional with 5 years of experience in employee engagement, recruitment, and conflict resolution.","<p>HR professional with <b>5 years</b> of experience in <i>employee engagement</i>, <i>recruitment</i>, and <i>conflict resolution</i>.</p>",HR
322,"Software Engineer professional with 3 years of experience in data structures, Java, and MongoDB.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>data structures</i>, <i>Java</i>, and <i>MongoDB</i>.</p>",Software Engineer
323,"Mechanical Engineer professional with 6 years of experience in manufacturing processes, thermodynamics, and CAD tools.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>manufacturing processes</i>, <i>thermodynamics</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
324,"Marketing professional with 1 years of experience in digital campaigns, SEO, and content creation.","<p>Marketing professional with <b>1 years</b> of experience in <i>digital campaigns</i>, <i>SEO</i>, and <i>content creation</i>.</p>",Marketing
325,"HR professional with 4 years of experience in recruitment, employee engagement, and HR policies.","<p>HR professional with <b>4 years</b> of experience in <i>recruitment</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
326,"HR professional with 7 years of experience in employee engagement, talent acquisition, and onboarding.","<p>HR professional with <b>7 years</b> of experience in <i>employee engagement</i>, <i>talent acquisition</i>, and <i>onboarding</i>.</p>",HR
327,"HR professional with 2 years of experience in onboarding, conflict resolution, and recruitment.","<p>HR professional with <b>2 years</b> of experience in <i>onboarding</i>, <i>conflict resolution</i>, and <i>recruitment</i>.</p>",HR
328,"Marketing professional with 4 years of experience in content creation, digital campaigns, and SEO.","<p>Marketing professional with <b>4 years</b> of experience in <i>content creation</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
329,"HR professional with 6 years of experience in HR policies, conflict resolution, and talent acquisition.","<p>HR professional with <b>6 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>talent acquisition</i>.</p>",HR
330,"Business Analyst professional with 2 years of experience in data interpretation, dashboard reporting, and SQL.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>data interpretation</i>, <i>dashboard reporting</i>, and <i>SQL</i>.</p>",Business Analyst
331,"Mechanical Engineer professional with 7 years of experience in manufacturing processes, CAD tools, and thermodynamics.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>manufacturing processes</i>, <i>CAD tools</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
332,"Software Engineer professional with 7 years of experience in MongoDB, algorithms, and data structures.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>MongoDB</i>, <i>algorithms</i>, and <i>data structures</i>.</p>",Software Engineer
333,"Business Analyst professional with 1 years of experience in client communication, Excel, and dashboard reporting.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>client communication</i>, <i>Excel</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
334,"HR professional with 7 years of experience in conflict resolution, HR policies, and onboarding.","<p>HR professional with <b>7 years</b> of experience in <i>conflict resolution</i>, <i>HR policies</i>, and <i>onboarding</i>.</p>",HR
335,"Mechanical Engineer professional with 7 years of experience in AutoCAD, manufacturing processes, and thermodynamics.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>AutoCAD</i>, <i>manufacturing processes</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
336,"Marketing professional with 6 years of experience in content creation, digital campaigns, and SEO.","<p>Marketing professional with <b>6 years</b> of experience in <i>content creation</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
337,"Software Engineer professional with 2 years of experience in Java, backend development, and MongoDB.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>Java</i>, <i>backend development</i>, and <i>MongoDB</i>.</p>",Software Engineer
338,"Marketing professional with 4 years of experience in content creation, analytics, and social media.","<p>Marketing professional with <b>4 years</b> of experience in <i>content creation</i>, <i>analytics</i>, and <i>social media</i>.</p>",Marketing
339,"Business Analyst professional with 4 years of experience in client communication, Excel, and data interpretation.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>client communication</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
340,"Mechanical Engineer professional with 2 years of experience in SolidWorks, AutoCAD, and manufacturing processes.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>SolidWorks</i>, <i>AutoCAD</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
341,"Software Engineer professional with 7 years of experience in MongoDB, data structures, and Python.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>MongoDB</i>, <i>data structures</i>, and <i>Python</i>.</p>",Software Engineer
342,"Software Engineer professional with 3 years of experience in algorithms, Node.js, and MongoDB.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>algorithms</i>, <i>Node.js</i>, and <i>MongoDB</i>.</p>",Software Engineer
343,"HR professional with 6 years of experience in HR policies, employee engagement, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>HR policies</i>, <i>employee engagement</i>, and <i>onboarding</i>.</p>",HR
344,"Marketing professional with 1 years of experience in SEM, content creation, and analytics.","<p>Marketing professional with <b>1 years</b> of experience in <i>SEM</i>, <i>content creation</i>, and <i>analytics</i>.</p>",Marketing
345,"Software Engineer professional with 7 years of experience in data structures, Node.js, and Java.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>data structures</i>, <i>Node.js</i>, and <i>Java</i>.</p>",Software Engineer
346,"Business Analyst professional with 7 years of experience in Power BI, Excel, and data interpretation.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>Power BI</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
347,"Marketing professional with 2 years of experience in digital campaigns, social media, and SEO.","<p>Marketing professional with <b>2 years</b> of experience in <i>digital campaigns</i>, <i>social media</i>, and <i>SEO</i>.</p>",Marketing
348,"Business Analyst professional with 4 years of experience in dashboard reporting, SQL, and data interpretation.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>dashboard reporting</i>, <i>SQL</i>, and <i>data interpretation</i>.</p>",Business Analyst
349,"Business Analyst professional with 1 years of experience in Excel, dashboard reporting, and client communication.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Excel</i>, <i>dashboard reporting</i>, and <i>client communication</i>.</p>",Business Analyst
350,"Software Engineer professional with 2 years of experience in MongoDB, data structures, and algorithms.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>MongoDB</i>, <i>data structures</i>, and <i>algorithms</i>.</p>",Software Engineer
351,"Mechanical Engineer professional with 4 years of experience in quality inspection, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>quality inspection</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
352,"Mechanical Engineer professional with 3 years of experience in AutoCAD, manufacturing processes, and SolidWorks.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>AutoCAD</i>, <i>manufacturing processes</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
353,"Marketing professional with 3 years of experience in SEM, digital campaigns, and social media.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEM</i>, <i>digital campaigns</i>, and <i>social media</i>.</p>",Marketing
354,"Software Engineer professional with 4 years of experience in Java, algorithms, and MongoDB.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
355,"HR professional with 6 years of experience in HR policies, recruitment, and conflict resolution.","<p>HR professional with <b>6 years</b> of experience in <i>HR policies</i>, <i>recruitment</i>, and <i>conflict resolution</i>.</p>",HR
356,"Mechanical Engineer professional with 7 years of experience in CAD tools, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>CAD tools</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
357,"HR professional with 6 years of experience in employee engagement, recruitment, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>employee engagement</i>, <i>recruitment</i>, and <i>onboarding</i>.</p>",HR
358,"Software Engineer professional with 2 years of experience in Python, Java, and MongoDB.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>Python</i>, <i>Java</i>, and <i>MongoDB</i>.</p>",Software Engineer
359,"Marketing professional with 4 years of experience in social media, SEO, and content creation.","<p>Marketing professional with <b>4 years</b> of experience in <i>social media</i>, <i>SEO</i>, and <i>content creation</i>.</p>",Marketing
360,"Marketing professional with 3 years of experience in analytics, social media, and digital campaigns.","<p>Marketing professional with <b>3 years</b> of experience in <i>analytics</i>, <i>social media</i>, and <i>digital campaigns</i>.</p>",Marketing
361,"Marketing professional with 1 years of experience in SEO, content creation, and digital campaigns.","<p>Marketing professional with <b>1 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>digital campaigns</i>.</p>",Marketing
362,"Marketing professional with 6 years of experience in content creation, analytics, and social media.","<p>Marketing professional with <b>6 years</b> of experience in <i>content creation</i>, <i>analytics</i>, and <i>social media</i>.</p>",Marketing
363,"Mechanical Engineer professional with 3 years of experience in AutoCAD, thermodynamics, and manufacturing processes.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>AutoCAD</i>, <i>thermodynamics</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
364,"Business Analyst professional with 4 years of experience in data interpretation, client communication, and SQL.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>data interpretation</i>, <i>client communication</i>, and <i>SQL</i>.</p>",Business Analyst
365,"HR professional with 6 years of experience in HR policies, conflict resolution, and recruitment.","<p>HR professional with <b>6 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>recruitment</i>.</p>",HR
366,"HR professional with 6 years of experience in employee engagement, HR policies, and conflict resolution.","<p>HR professional with <b>6 years</b> of experience in <i>employee engagement</i>, <i>HR policies</i>, and <i>conflict resolution</i>.</p>",HR
367,"HR professional with 5 years of experience in recruitment, HR policies, and employee engagement.","<p>HR professional with <b>5 years</b> of experience in <i>recruitment</i>, <i>HR policies</i>, and <i>employee engagement</i>.</p>",HR
368,"Business Analyst professional with 1 years of experience in Excel, dashboard reporting, and data interpretation.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Excel</i>, <i>dashboard reporting</i>, and <i>data interpretation</i>.</p>",Business Analyst
369,"HR professional with 3 years of experience in HR policies, conflict resolution, and onboarding.","<p>HR professional with <b>3 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>onboarding</i>.</p>",HR
370,"Software Engineer professional with 6 years of experience in backend development, Java, and algorithms.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>backend development</i>, <i>Java</i>, and <i>algorithms</i>.</p>",Software Engineer
371,"Software Engineer professional with 7 years of experience in MongoDB, data structures, and Java.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>MongoDB</i>, <i>data structures</i>, and <i>Java</i>.</p>",Software Engineer
372,"Mechanical Engineer professional with 7 years of experience in manufacturing processes, thermodynamics, and SolidWorks.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>manufacturing processes</i>, <i>thermodynamics</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
373,"HR professional with 6 years of experience in talent acquisition, recruitment, and employee engagement.","<p>HR professional with <b>6 years</b> of experience in <i>talent acquisition</i>, <i>recruitment</i>, and <i>employee engagement</i>.</p>",HR
374,"Marketing professional with 7 years of experience in digital campaigns, SEO, and SEM.","<p>Marketing professional with <b>7 years</b> of experience in <i>digital campaigns</i>, <i>SEO</i>, and <i>SEM</i>.</p>",Marketing
375,"Marketing professional with 6 years of experience in social media, analytics, and SEM.","<p>Marketing professional with <b>6 years</b> of experience in <i>social media</i>, <i>analytics</i>, and <i>SEM</i>.</p>",Marketing
376,"Software Engineer professional with 6 years of experience in MongoDB, Java, and Python.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>MongoDB</i>, <i>Java</i>, and <i>Python</i>.</p>",Software Engineer
377,"Marketing professional with 7 years of experience in social media, digital campaigns, and content creation.","<p>Marketing professional with <b>7 years</b> of experience in <i>social media</i>, <i>digital campaigns</i>, and <i>content creation</i>.</p>",Marketing
378,"HR professional with 4 years of experience in employee engagement, conflict resolution, and HR policies.","<p>HR professional with <b>4 years</b> of experience in <i>employee engagement</i>, <i>conflict resolution</i>, and <i>HR policies</i>.</p>",HR
379,"Mechanical Engineer professional with 5 years of experience in AutoCAD, manufacturing processes, and quality inspection.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>AutoCAD</i>, <i>manufacturing processes</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
380,"Business Analyst professional with 1 years of experience in Excel, Power BI, and SQL.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>SQL</i>.</p>",Business Analyst
381,"Software Engineer professional with 7 years of experience in MongoDB, algorithms, and backend development.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>MongoDB</i>, <i>algorithms</i>, and <i>backend development</i>.</p>",Software Engineer
